OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880013                                            
Config info:
GSC,1.000
LaserDAC,183
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,23,33,0,4.111,1.398,0.845,1.221,1.275
11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.627,1.381,1.621,2.024,2.029
10,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,33,0,33,0,3.083,1.388,1.563,2.435,2.586
12,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,19,29,0,0,3.233,1.387,1.390,2.144,2.545
9,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,19,19,0,0,3.289,1.387,1.235,2.000,6.812
9,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,15,29,25,0,3.392,1.387,1.294,2.064,2.152
6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3.392,1.387,0.834,1.166,1.175
4,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,22,27,0,37,3.386,1.388,0.814,1.778,3.559
8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,25,0,3.394,1.381,0.770,1.002,1.061
9,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.442,1.388,1.130,1.459,1.490
13,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,17,23,31,0,3.515,1.388,1.942,3.157,3.585
10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,17,21,0,0,3.548,1.387,1.065,1.372,50.131
9,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,19,35,27,0,3.562,1.387,1.172,2.326,3.070
2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,3.583,1.387,0.844,1.134,1.141
10,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,23,0,0,37,3.568,1.387,1.193,1.906,3.266
5,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,21,31,0,41,3.565,1.381,1.025,1.821,3.183
7,5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,20,19,21,0,3.584,1.387,1.709,2.652,2.747
3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.622,1.387,0.667,1.081,1.125
6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,31,26,0,0,3.528,1.388,1.257,1.821,1.836
6,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,21,19,0,0,3.528,1.387,0.943,1.920,2.615
9,4,2,0,0,2,1,0,0,0,0,0,0,0,0,0,20,0,36,0,3.543,1.387,1.518,2.520,2.978
