OPC-N3 Iss1.1 FirmwareVer=1.17............................BS
OPC-N3 177470302                                            
Config info:
LaserDAC,156
FanDAC,255
ToFtoSFRfactor,58
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.690,3.080,25.285,31.679,0.544,0.639,0.640,0,0,18,4,0,608
18,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,3.080,25.341,31.244,0.607,1.296,95.036,1,0,13,0,0,608
17,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,30,0,0,0.680,2.130,25.328,31.123,1.173,1.962,1.993,0,0,28,3,0,608
8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,0,0,0.680,3.190,25.328,31.169,0.719,1.251,1.271,0,0,16,4,0,608
15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.280,25.368,31.125,0.473,1.080,1.159,1,0,16,3,0,608
10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.410,25.397,31.160,0.503,1.130,1.206,1,0,12,0,0,610
22,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,3.410,25.411,31.070,0.587,1.670,80.177,2,0,9,2,0,609
13,2,1,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,46,37,0.680,3.140,25.397,31.114,0.902,9.466,82.598,1,1,15,4,0,608
12,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,45,0,39,0.680,3.100,25.440,31.027,0.444,4.597,122.450,0,0,10,1,0,607
15,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,46,0.680,3.090,25.424,31.041,0.716,3.380,11.114,0,0,14,2,0,607
16,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,3.130,25.467,30.940,0.769,2.039,2.204,0,0,21,4,0,609
10,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,0,0,0.680,3.110,25.467,30.923,0.684,1.592,1.686,0,0,20,5,0,609
7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0,0,0.680,3.160,25.496,30.972,0.318,0.543,0.553,1,0,15,1,0,610
16,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.680,3.180,25.510,30.823,0.566,2.445,4.770,0,0,20,1,0,611
13,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,36,0,0.680,3.210,25.539,30.840,0.516,4.016,65.725,1,0,15,2,0,610
13,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,32,0,0.680,3.270,25.555,30.826,0.470,3.467,87.957,3,0,15,1,0,610
7,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,38,0.680,3.230,25.595,30.785,0.305,3.034,68.936,1,0,23,3,0,610
17,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0.680,3.210,25.582,30.766,0.462,2.313,4.617,0,0,15,5,0,610
17,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,32,0,0.680,3.300,25.624,30.754,0.407,1.587,2.100,0,0,23,2,0,609
15,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,33,0,0.680,3.270,25.638,30.713,0.589,4.959,26.006,0,0,14,3,0,610
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0.680,3.180,25.664,30.684,0.335,0.347,61.798,0,0,21,2,0,609
7,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.220,25.680,30.653,0.344,2.191,4.487,1,0,13,5,0,609
21,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,0,0,0.680,3.340,25.680,30.594,0.738,1.512,1.598,2,0,8,1,0,609
18,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0.680,3.330,25.707,30.597,0.598,1.238,1.316,0,0,16,1,0,608
15,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,0,0,0.680,3.360,25.720,30.537,0.788,2.172,2.335,1,0,18,3,0,609
14,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.680,3.360,25.777,30.514,0.563,3.076,5.363,1,0,22,0,0,608
15,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,0,0,0.680,3.450,25.777,30.514,0.641,1.423,1.507,3,0,18,3,0,609
6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0.680,3.430,25.777,30.420,0.188,1.878,4.034,0,0,15,2,0,609
12,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,35,0,0.680,3.460,25.819,30.409,0.551,4.615,22.933,1,0,12,3,0,609
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,3.480,25.849,30.383,0.276,0.320,0.321,1,0,15,2,0,609
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,46,0.680,3.460,25.862,30.383,0.640,4.839,13.892,0,0,11,4,0,609
12,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,42,30,46,0.680,3.500,25.875,30.281,0.626,4.233,101.741,1,0,18,3,0,609
16,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.680,3.500,25.905,30.295,0.457,3.587,22.776,0,0,17,1,0,608
9,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,37,0,0.680,3.520,25.889,30.264,0.416,4.295,83.265,0,0,11,1,0,608
15,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,32,0,0.680,3.530,25.918,30.269,0.798,4.232,5.346,0,0,20,0,0,607
12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.680,3.540,25.931,30.177,0.383,0.912,0.985,0,0,13,3,0,608
16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0.680,3.570,25.931,30.131,0.449,1.007,1.079,3,0,12,1,0,607
11,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,0,0,0.680,3.510,25.961,30.136,0.626,1.104,1.123,0,0,17,4,0,608
14,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,33,0,0.680,3.540,25.988,30.107,0.525,2.910,3.876,0,0,17,1,0,609
20,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.680,3.540,25.974,30.058,0.784,2.095,2.250,2,0,21,2,0,610
19,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.680,3.590,26.030,30.020,0.494,1.468,86.612,1,0,16,1,0,609
15,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,33,40,0.680,3.650,26.001,30.017,0.488,5.073,18.498,0,0,16,2,0,608
9,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,32,0,0.680,3.660,26.030,30.006,0.575,3.123,19.917,0,0,16,1,0,608
20,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.670,26.017,29.942,0.552,2.671,77.561,0,0,17,1,0,609
7,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0.680,3.670,26.057,29.961,0.472,1.235,1.315,0,0,19,2,0,609
