OPC-N3 Iss1.1 FirmwareVer=1.17............................BS
OPC-N3 177470302                                            
Config info:
LaserDAC,156
FanDAC,255
ToFtoSFRfactor,58
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,4.220,24.514,34.357,0.223,0.230,0.230,0,0,16,4,0,609
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,4.230,24.527,34.332,0.270,0.277,0.277,2,0,20,3,0,609
16,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,0,0,0.680,4.270,24.554,34.238,0.500,1.130,1.198,3,0,22,5,0,609
18,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,0,0.680,4.300,24.570,34.213,0.509,2.181,3.916,0,0,17,2,0,608
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,4.300,24.610,34.177,0.150,0.152,0.152,1,0,15,0,0,609
22,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,41,0,0.680,4.340,24.610,34.132,0.452,1.357,1.747,2,0,16,6,0,609
21,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,0,0,0.680,4.400,24.652,34.071,0.651,0.940,0.948,1,0,17,2,0,609
16,4,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,0,0,0.680,4.400,24.666,34.071,0.987,4.614,6.595,0,0,10,1,0,609
11,8,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,35,0.680,4.350,24.682,33.963,0.822,4.536,11.789,0,0,17,1,0,609
14,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,37,0.680,4.320,24.708,34.021,0.420,1.928,7.401,1,0,19,2,0,609
15,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0.680,4.320,24.738,33.954,0.663,1.877,2.278,1,0,19,2,0,609
18,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0,0,0.680,4.370,24.765,33.867,0.539,2.091,3.790,1,0,26,0,0,609
14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,31,0,0.680,4.280,24.778,33.821,0.336,1.250,1.646,0,0,21,4,0,609
11,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.680,4.280,24.794,33.807,0.242,4.394,13.372,3,0,22,2,0,608
14,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,4.330,24.821,33.780,0.403,1.809,3.518,0,0,18,2,0,609
12,4,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,4.380,24.834,33.720,0.583,3.944,50.524,0,0,20,2,0,609
18,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.680,4.420,24.834,33.707,0.478,0.963,1.022,2,0,11,5,0,609
15,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,30,0,0.680,4.440,24.890,33.652,0.411,1.349,1.732,2,0,18,4,0,609
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0.680,4.170,24.877,33.574,0.374,0.412,0.413,0,0,14,7,0,609
12,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,39,0,0.680,4.220,24.919,33.609,0.397,1.384,1.786,2,0,21,2,0,609
13,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,31,33,0,0.680,4.060,24.949,33.522,0.425,1.584,80.343,0,0,20,4,0,609
16,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,4.090,24.949,33.459,0.481,1.973,3.781,1,0,20,3,0,608
9,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,38,0,0.680,4.080,25.005,33.450,0.576,1.801,2.225,1,1,18,3,0,609
13,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,34,0,0.680,4.110,25.005,33.435,0.622,2.774,3.607,1,0,21,5,0,608
16,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,4.120,25.005,33.376,0.467,1.985,16.546,2,0,16,5,0,608
15,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,0.680,4.190,25.034,33.316,0.576,3.003,4.898,0,0,22,2,0,608
16,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,4.200,25.018,33.286,0.410,1.858,3.619,1,0,16,3,0,608
18,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,0,0,0.680,4.210,25.061,33.290,0.549,2.341,48.990,0,0,23,5,0,610
12,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,36,0,0.680,4.310,25.074,33.215,0.541,1.672,2.073,2,1,18,3,0,610
21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.680,4.310,25.074,33.199,0.497,1.117,1.184,3,0,24,1,0,609
17,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,0,0,0.680,4.290,25.130,33.147,0.639,1.366,45.437,1,0,22,2,0,610
12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,37,0,0.680,4.290,25.130,33.160,0.255,1.162,1.557,0,0,19,2,0,609
17,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,41,55,0.680,4.320,25.160,33.133,0.497,3.388,9.319,0,0,20,3,0,610
10,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.680,4.290,25.173,33.087,0.531,1.486,1.607,1,0,15,1,0,610
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.300,25.173,33.029,0.328,0.365,0.365,1,0,27,0,0,610
20,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,28,0,0.680,4.370,25.173,33.029,0.516,1.834,2.280,0,0,19,6,0,610
15,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.670,4.380,25.229,33.002,0.427,1.865,3.579,0,0,17,3,0,609
20,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,29,36,0.680,4.430,25.229,32.913,0.553,3.740,9.841,1,0,24,1,0,608
11,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,4.430,25.242,32.959,0.240,1.639,15.181,1,0,18,2,0,609
9,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,32,0,0.680,4.480,25.259,32.869,0.570,3.353,5.447,2,0,15,2,0,608
14,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,33,45,0.680,4.470,25.242,32.899,0.437,3.084,8.809,0,0,18,3,0,608
