OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880013                                            
Config info:
GSC,1.000
LaserDAC,183
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.364,1.398,1.418,1.838,1.844
6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,23,0,3.052,1.384,1.041,1.541,1.611
5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.052,1.387,0.964,1.348,1.354
8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.194,1.388,1.276,1.581,1.585
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2.943,1.388,1.308,1.368,1.368
9,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,23,26,0,33,3.000,1.388,1.286,2.536,17.721
9,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2.866,1.387,1.391,1.891,1.930
11,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0,21,0,33,33,2.951,1.387,1.679,3.172,31.165
12,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,24,0,33,37,2.968,1.383,2.123,3.348,5.042
12,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,25,0,3.004,1.387,2.288,2.844,2.913
8,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,20,25,0,47,3.073,1.387,1.348,2.632,4.606
8,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,23,25,0,0,3.083,1.387,1.165,1.687,1.722
8,2,2,1,1,2,2,0,0,0,0,1,0,0,0,0,21,23,34,0,3.110,1.387,1.452,3.211,59.746
7,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,25,25,0,33,3.095,1.387,1.465,2.437,4.010
13,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,20,0,0,0,3.125,1.387,1.588,2.309,84.575
12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3.125,1.383,1.412,1.788,1.797
17,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,63,3.144,1.388,2.363,3.229,4.757
12,0,2,1,1,0,2,1,0,0,0,0,0,0,1,0,0,19,0,31,3.144,1.387,1.449,3.058,79.968
6,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,25,0,0,3.144,1.387,0.736,1.874,31.599
6,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,24,26,27,0,3.139,1.387,1.401,2.145,2.224
10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,31,3.141,1.387,1.151,1.710,3.235
6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,25,34,0,3.141,1.387,0.593,1.121,1.254
11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.208,1.384,1.628,1.872,1.874
13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,29,3.235,1.388,1.467,1.949,3.429
12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,31,0,0,3.269,1.387,1.619,2.026,2.036
9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,20,26,0,0,3.290,1.387,1.391,1.798,1.811
16,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,37,3.286,1.387,1.849,2.446,3.904
12,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,19,31,33,31,3.313,1.387,1.588,2.463,3.976
10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.319,1.387,1.222,1.406,1.409
9,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,33,21,0,0,3.293,1.383,1.138,1.989,2.397
10,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,21,0,37,0,3.297,1.387,1.286,2.098,2.529
6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.307,1.387,1.209,1.524,1.528
11,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,3.294,1.387,1.347,2.001,2.386
12,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,3.297,1.387,1.584,2.405,7.216
