OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880013                                            
Config info:
GSC,1.000
LaserDAC,183
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,3.687,1.388,0.999,1.318,1.330
6,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,18,24,0,33,3.699,1.387,0.759,1.321,2.624
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699,1.381,0.524,0.650,0.665
9,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,24,27,0,3.699,1.388,0.790,1.361,22.073
8,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,37,0,3.699,1.388,0.949,1.543,1.619
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699,1.388,0.501,0.613,0.615
6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,23,25,0,3.711,1.388,0.725,1.042,1.100
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3.684,1.387,0.405,0.435,0.435
12,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,3.702,1.388,1.282,1.570,1.590
6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.702,1.381,0.922,1.466,1.499
13,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,3.720,1.388,1.574,2.169,2.497
11,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,17,0,31,0,3.729,1.387,1.227,1.756,1.827
6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18,35,0,0,3.740,1.387,0.711,1.152,1.481
11,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,3.720,1.387,1.205,1.491,1.510
10,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,29,0,3.726,1.387,1.121,1.631,1.740
8,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,19,21,0,33,3.728,1.387,1.118,2.083,3.407
8,6,2,0,1,0,0,1,1,0,0,0,0,0,0,0,19,0,0,31,3.743,1.381,1.601,2.733,8.275
9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,3.751,1.387,1.083,1.410,1.418
14,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3.751,1.344,1.655,2.189,2.200
7,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,3.741,1.388,1.198,1.937,2.267
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,3.737,1.387,0.725,0.850,0.854
8,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,3.754,1.387,1.211,1.791,2.117
9,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,22,0,31,0,3.733,1.387,1.451,2.309,2.692
16,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,29,3.742,1.381,2.269,3.360,4.656
16,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,25,0,3.757,1.387,1.685,2.211,2.269
10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,3.746,1.387,0.889,1.128,1.146
14,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0,0,3.743,1.387,1.792,2.194,2.203
9,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,25,0,3.723,1.387,1.318,1.949,2.060
9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.740,1.387,1.159,1.453,1.469
9,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,3.738,1.387,1.134,1.560,12.442
6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.735,1.382,1.008,1.457,1.476
9,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,29,0,3.735,1.387,1.130,1.711,1.774
12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19,0,41,0,3.737,1.388,0.983,1.500,1.878
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.740,1.387,0.825,0.963,0.965
9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.740,1.388,1.067,1.388,1.393
11,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,19,0,29,27,3.742,1.388,1.489,2.434,3.772
9,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,23,23,0,0,3.732,1.387,0.949,1.721,12.952
12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.722,1.381,1.235,1.436,1.450
13,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,20,25,0,0,3.721,1.387,1.665,2.237,2.261
6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.705,1.387,0.986,1.325,1.330
11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,21,0,23,35,3.702,1.387,1.064,1.713,3.061
